Technischer Schlüssel;Link-ID;Detailnetz-Nr.;VP_von;VP_bis;Von-Station;Bis-Station;Verkehrsrichtung;Verkehrsebene;Straßentyp;StEP-Klasse;OKSTRA-Klasse;RBS-Klasse;Straßenname;Bezirk;Ortsteil;DTVw-2019-Kfz;DTVw-2019-Lkw
506;40520002_40520068;40520002_40520068.01;40520002,00;40520068,00;0,00;17,00;B;0,00;S;II;G;STRA;Kurfürstendamm;Charlottenburg-Wilmersdorf;Charlottenburg;24400,00;270,00
1426;57590018_57590019;57590018_57590019.02;57590018,00;57590019,00;0,00;100,00;B;2,00;S;II;B;STRA;Märkische Allee;Marzahn-Hellersdorf;Marzahn;14200,00;710,00
1506;45540043_T0023560;45540043_45530010.01;45540043,00;45530010,00;0,00;87,00;B;0,00;S;II;G;STRA;Wilhelmstraße;Mitte;Mitte;8400,00;320,00
1596;37480003_T0024150;37480003_37470026.01;37480003,00;37470026,00;0,00;109,00;B;0,00;S;III;G;STRA;Hüttenweg;Steglitz-Zehlendorf;Dahlem;8800,00;170,00
1711;38520058_38520059;38520058_38520059.02;38520058,00;38520059,00;0,00;67,00;B;0,00;S;II;G;STRA;Schwarzbacher Straße;Charlottenburg-Wilmersdorf;Halensee;7300,00;140,00
2005;38490026_38490025;38490026_38490025.01;38490026,00;38490025,00;0,00;13,00;G;0,00;S;III;G;STRA;Platz am Wilden Eber;Charlottenburg-Wilmersdorf;Schmargendorf;10000,00;130,00
2258;42500084_42500085;42500084_42500085.01;42500084,00;42500085,00;0,00;25,00;R;0,00;S;III;G;STRA;Innsbrucker Platz;Tempelhof-Schöneberg;Schöneberg;17700,00;390,00
9920;40490091_40490090;40490091_40490090.01;40490091,00;40490090,00;0,00;41,00;B;0,00;S;III;G;STRA;Laubacher Straße;Charlottenburg-Wilmersdorf;Wilmersdorf;5300,00;50,00
3901;34590002_34590001;34590002_34590001.01;34590002,00;34590001,00;0,00;67,00;B;0,00;S;II;G;STRA;Daumstraße;Spandau;Haselhorst;14200,00;540,00
4397;39460015_39460047;39460015_39460047.01;39460015,00;39460047,00;0,00;15,00;B;0,00;S;II;G;STRA;Drakestraße;Steglitz-Zehlendorf;Lichterfelde;23800,00;370,00
4424;48580069_48580068;48580069_48580068.01;48580069,00;48580068,00;0,00;19,00;B;0,00;S;IV;G;STRA;Neumannstraße;Pankow;Pankow;7300,00;140,00
6855;47590013_47590014;47590013_47590014.01;47590013,00;47590014,00;0,00;107,00;B;0,00;S;II;G;STRA;Berliner Straße;Pankow;Pankow;10700,00;410,00
6924;43580033_43590020;43580033_43590020.01;43580033,00;43590020,00;0,00;142,00;B;0,00;S;II;G;STRA;Seestraße;Mitte;Wedding;37700,00;1720,00
8983;54610001_54610029;54610001_54610029.01;54610001,00;54610029,00;0,00;133,00;B;0,00;S;V;G;STRA;Lindenberger Straße;Lichtenberg;Wartenberg;9200,00;150,00
9290;36580006_36580003;36580006_36580003.01;36580006,00;36580003,00;0,00;91,00;B;0,00;S;II;G;STRA;Bernauer Straße;Spandau;Siemensstadt;12000,00;190,00
1;T0087260_51580007;51580010_51580007.01;51580010,00;51580007,00;44,00;102,00;B;0,00;S;I;B;STRA;Berliner Allee;Pankow;Weißensee;24500,00;1090,00
