District,PLZ
Mitte,10115
Mitte,10559
Mitte,13355
Mitte,10117
Mitte,10623
Mitte,13357
Mitte,10119
Mitte,10785
Mitte,13359
Mitte,10178
Mitte,10787
Mitte,13405
Mitte,10179
Mitte,10963
Mitte,13407
Mitte,10435
Mitte,10969
Mitte,13409
Mitte,10551
Mitte,13347
Mitte,10553
Mitte,13349
Mitte,10555
Mitte,13351
Mitte,10557
Mitte,13353
Friedrichshain-Kreuzberg,10179
Friedrichshain-Kreuzberg,10967
Friedrichshain-Kreuzberg,10243
Friedrichshain-Kreuzberg,10969
Friedrichshain-Kreuzberg,10245
Friedrichshain-Kreuzberg,10997
Friedrichshain-Kreuzberg,10247
Friedrichshain-Kreuzberg,10999
Friedrichshain-Kreuzberg,10249
Friedrichshain-Kreuzberg,12045
Friedrichshain-Kreuzberg,10367
Friedrichshain-Kreuzberg,10785
Friedrichshain-Kreuzberg,10961
Friedrichshain-Kreuzberg,10963
Friedrichshain-Kreuzberg,10965
Pankow,10119
Pankow,13053
Pankow,13187
Pankow,10247
Pankow,13086
Pankow,13189
Pankow,10249
Pankow,13088
Pankow,10405
Pankow,13089
Pankow,10407
Pankow,13125
Pankow,10409
Pankow,13127
Pankow,10435
Pankow,13129
Pankow,10437
Pankow,13156
Pankow,10439
Pankow,13158
Pankow,13051
Pankow,13159
Charlottenburg-Wilmersdorf,10553
Charlottenburg-Wilmersdorf,10711
Charlottenburg-Wilmersdorf,13353
Charlottenburg-Wilmersdorf,14193
Charlottenburg-Wilmersdorf,10585
Charlottenburg-Wilmersdorf,10713
Charlottenburg-Wilmersdorf,13597
Charlottenburg-Wilmersdorf,14195
Charlottenburg-Wilmersdorf,10587
Charlottenburg-Wilmersdorf,10715
Charlottenburg-Wilmersdorf,13627
Charlottenburg-Wilmersdorf,14197
Charlottenburg-Wilmersdorf,10589
Charlottenburg-Wilmersdorf,10717
Charlottenburg-Wilmersdorf,13629
Charlottenburg-Wilmersdorf,14199
Charlottenburg-Wilmersdorf,10623
Charlottenburg-Wilmersdorf,10719
Charlottenburg-Wilmersdorf,14050
Charlottenburg-Wilmersdorf,10625
Charlottenburg-Wilmersdorf,10777
Charlottenburg-Wilmersdorf,14052
Charlottenburg-Wilmersdorf,10627
Charlottenburg-Wilmersdorf,10779
Charlottenburg-Wilmersdorf,14053
Charlottenburg-Wilmersdorf,10629
Charlottenburg-Wilmersdorf,10787
Charlottenburg-Wilmersdorf,14055
Charlottenburg-Wilmersdorf,10707
Charlottenburg-Wilmersdorf,10789
Charlottenburg-Wilmersdorf,14057
Charlottenburg-Wilmersdorf,10709
Charlottenburg-Wilmersdorf,10825
Charlottenburg-Wilmersdorf,14059
Spandau,13581
Spandau,13627
Spandau,13583
Spandau,13629
Spandau,13585
Spandau,14052
Spandau,13587
Spandau,14089
Spandau,13589
Spandau,13591
Spandau,13593
Spandau,13595
Spandau,13597
Spandau,13599
Steglitz-Zehlendorf,12157
Steglitz-Zehlendorf,12247
Steglitz-Zehlendorf,14193
Steglitz-Zehlendorf,12161
Steglitz-Zehlendorf,12249
Steglitz-Zehlendorf,14195
Steglitz-Zehlendorf,12163
Steglitz-Zehlendorf,12277
Steglitz-Zehlendorf,14197
Steglitz-Zehlendorf,12165
Steglitz-Zehlendorf,12279
Steglitz-Zehlendorf,14199
Steglitz-Zehlendorf,12167
Steglitz-Zehlendorf,14109
Steglitz-Zehlendorf,12169
Steglitz-Zehlendorf,14129
Steglitz-Zehlendorf,12203
Steglitz-Zehlendorf,14163
Steglitz-Zehlendorf,12205
Steglitz-Zehlendorf,14165
Steglitz-Zehlendorf,12207
Steglitz-Zehlendorf,14167
Steglitz-Zehlendorf,12209
Steglitz-Zehlendorf,14169
Tempelhof-Schoneberg,10777
Tempelhof-Schoneberg,10829
Tempelhof-Schoneberg,12161
Tempelhof-Schoneberg,14197
Tempelhof-Schoneberg,10779
Tempelhof-Schoneberg,10965
Tempelhof-Schoneberg,12163
Tempelhof-Schoneberg,10781
Tempelhof-Schoneberg,12099
Tempelhof-Schoneberg,12169
Tempelhof-Schoneberg,10783
Tempelhof-Schoneberg,12101
Tempelhof-Schoneberg,12249
Tempelhof-Schoneberg,10785
Tempelhof-Schoneberg,12103
Tempelhof-Schoneberg,12277
Tempelhof-Schoneberg,10787
Tempelhof-Schoneberg,12105
Tempelhof-Schoneberg,12279
Tempelhof-Schoneberg,10789
Tempelhof-Schoneberg,12107
Tempelhof-Schoneberg,12305
Tempelhof-Schoneberg,10823
Tempelhof-Schoneberg,12109
Tempelhof-Schoneberg,12307
Tempelhof-Schoneberg,10825
Tempelhof-Schoneberg,12157
Tempelhof-Schoneberg,12309
Tempelhof-Schoneberg,10827
Tempelhof-Schoneberg,12159
Tempelhof-Schoneberg,12347
Neukolln,10965
Neukolln,12059
Neukolln,12359
Neukolln,10967
Neukolln,12099
Neukolln,12043
Neukolln,12107
Neukolln,12045
Neukolln,12305
Neukolln,12047
Neukolln,12347
Neukolln,12049
Neukolln,12349
Neukolln,12051
Neukolln,12351
Neukolln,12053
Neukolln,12353
Neukolln,12055
Neukolln,12355
Neukolln,12057
Neukolln,12357
Treptow-Kopenick,12435
Treptow-Kopenick,12557
Treptow-Kopenick,12437
Treptow-Kopenick,12559
Treptow-Kopenick,12439
Treptow-Kopenick,12587
Treptow-Kopenick,12459
Treptow-Kopenick,12589
Treptow-Kopenick,12487
Treptow-Kopenick,12623
Treptow-Kopenick,12489
Treptow-Kopenick,12524
Treptow-Kopenick,12526
Treptow-Kopenick,12527
Treptow-Kopenick,12555
Marzahn-Hellersdorf,12555
Marzahn-Hellersdorf,12687
Marzahn-Hellersdorf,12619
Marzahn-Hellersdorf,12689
Marzahn-Hellersdorf,12621
Marzahn-Hellersdorf,12623
Marzahn-Hellersdorf,12627
Marzahn-Hellersdorf,12629
Marzahn-Hellersdorf,12679
Marzahn-Hellersdorf,12681
Marzahn-Hellersdorf,12683
Marzahn-Hellersdorf,12685
Lichtenberg,10315
Lichtenberg,13057
Lichtenberg,10317
Lichtenberg,13059
Lichtenberg,10318
Lichtenberg,10319
Lichtenberg,10365
Lichtenberg,10367
Lichtenberg,10369
Lichtenberg,13051
Lichtenberg,13053
Lichtenberg,13055
Reinickendorf,13403
Reinickendorf,13503
Reinickendorf,13405
Reinickendorf,13505
Reinickendorf,13407
Reinickendorf,13507
Reinickendorf,13409
Reinickendorf,13509
Reinickendorf,13435
Reinickendorf,13599
Reinickendorf,13437
Reinickendorf,13629
Reinickendorf,13439
Reinickendorf,13465
Reinickendorf,13467
Reinickendorf,13469
